PERIOD_START_TIME,pl_lstm,pd_lstm,pdv_lstm
2022-09-27 06:00:00,0.002508723409846425,0.7938834428787231,0.026535026729106903
2022-09-27 06:00:00,0.002508723409846425,0.7938834428787231,0.026535026729106903
2022-09-27 06:15:00,0.003919472452253103,0.7777077555656433,0.028237996622920036
2022-09-27 06:15:00,0.003919472452253103,0.7777077555656433,0.028237996622920036
2022-09-27 06:30:00,0.004487008322030306,0.7785230875015259,0.02942536026239395
2022-09-27 06:30:00,0.004487008322030306,0.7785230875015259,0.02942536026239395
2022-09-27 06:45:00,0.004699512384831905,0.7798250317573547,0.02998250350356102
2022-09-27 06:45:00,0.004699512384831905,0.7798250317573547,0.02998250350356102
2022-09-27 07:00:00,0.0051099760457873344,0.7815398573875427,0.031222157180309296
2022-09-27 07:00:00,0.0051099760457873344,0.7815398573875427,0.031222157180309296
2022-09-27 07:15:00,0.005509522743523121,0.7834325432777405,0.03225810080766678
2022-09-27 07:15:00,0.005509522743523121,0.7834325432777405,0.03225810080766678
2022-09-27 07:30:00,0.006018382962793112,0.7853418588638306,0.03396846726536751
2022-09-27 07:30:00,0.006018382962793112,0.7853418588638306,0.03396846726536751
2022-09-27 07:45:00,0.006423777900636196,0.7875897884368896,0.035259757190942764
2022-09-27 07:45:00,0.006423777900636196,0.7875897884368896,0.035259757190942764
2022-09-27 08:00:00,0.0066528613679111,0.789252519607544,0.036101069301366806
2022-09-27 08:00:00,0.0066528613679111,0.789252519607544,0.036101069301366806
2022-09-27 08:15:00,0.006850596517324448,0.79076087474823,0.036899689584970474
2022-09-27 08:15:00,0.006850596517324448,0.79076087474823,0.036899689584970474
2022-09-27 08:30:00,0.012552585452795029,0.7995660305023193,0.04581793025135994
2022-09-27 08:30:00,0.012552585452795029,0.7995660305023193,0.04581793025135994
2022-09-27 08:45:00,0.012591274455189705,0.8036516308784485,0.046058062463998795
2022-09-27 08:45:00,0.012591274455189705,0.8036516308784485,0.046058062463998795
2022-09-27 09:00:00,0.021997282281517982,0.8201500773429871,0.0657406896352768
2022-09-27 09:00:00,0.021997282281517982,0.8201500773429871,0.0657406896352768
2022-09-27 09:15:00,0.03028661012649536,0.831768274307251,0.07801909744739532
2022-09-27 09:15:00,0.03028661012649536,0.831768274307251,0.07801909744739532
2022-09-27 09:30:00,0.02305721491575241,0.8242964744567871,0.0683053657412529
2022-09-27 09:30:00,0.02305721491575241,0.8242964744567871,0.0683053657412529
2022-09-27 09:45:00,0.009091956540942192,0.8061814308166504,0.040430907160043716
2022-09-27 09:45:00,0.009091956540942192,0.8061814308166504,0.040430907160043716
2022-09-27 10:00:00,0.022687582299113274,0.817176342010498,0.06543543934822083
2022-09-27 10:00:00,0.022687582299113274,0.817176342010498,0.06543543934822083
2022-09-27 10:15:00,0.02590000629425049,0.8286311030387878,0.07393109798431396
2022-09-27 10:15:00,0.02590000629425049,0.8286311030387878,0.07393109798431396
2022-09-27 10:30:00,0.024942642077803612,0.8306353688240051,0.07357655465602875
2022-09-27 10:30:00,0.024942642077803612,0.8306353688240051,0.07357655465602875
2022-09-27 10:45:00,0.0243908129632473,0.8298236727714539,0.07290966808795929
2022-09-27 10:45:00,0.0243908129632473,0.8298236727714539,0.07290966808795929
2022-09-27 11:00:00,0.027707023546099663,0.8337886333465576,0.07654508948326111
2022-09-27 11:00:00,0.027707023546099663,0.8337886333465576,0.07654508948326111
2022-09-27 11:15:00,0.02083376795053482,0.8244926333427429,0.06445809453725815
2022-09-27 11:15:00,0.02083376795053482,0.8244926333427429,0.06445809453725815
2022-09-27 11:30:00,0.02103823982179165,0.8250693678855896,0.06547196954488754
2022-09-27 11:30:00,0.02103823982179165,0.8250693678855896,0.06547196954488754
2022-09-27 11:45:00,0.02511141076683998,0.8324663043022156,0.07406576722860336
2022-09-27 11:45:00,0.02511141076683998,0.8324663043022156,0.07406576722860336
2022-09-27 12:00:00,0.027224278077483177,0.8365970253944397,0.07657528668642044
2022-09-27 12:00:00,0.027224278077483177,0.8365970253944397,0.07657528668642044
2022-09-27 12:15:00,0.029134979471564293,0.8382146954536438,0.07856240123510361
2022-09-27 12:15:00,0.029134979471564293,0.8382146954536438,0.07856240123510361
2022-09-27 12:30:00,0.030431628227233887,0.838642418384552,0.07973692566156387
2022-09-27 12:30:00,0.030431628227233887,0.838642418384552,0.07973692566156387
2022-09-27 12:45:00,0.023520920425653458,0.8287385702133179,0.07110906392335892
2022-09-27 12:45:00,0.023520920425653458,0.8287385702133179,0.07110906392335892
2022-09-27 13:00:00,0.02935660071671009,0.8387917876243591,0.07876080274581909
2022-09-27 13:00:00,0.02935660071671009,0.8387917876243591,0.07876080274581909
2022-09-27 13:15:00,0.02888835035264492,0.8348454236984253,0.07777877897024155
2022-09-27 13:15:00,0.02888835035264492,0.8348454236984253,0.07777877897024155
2022-09-27 13:30:00,0.0233424361795187,0.8281028270721436,0.07083556056022644
2022-09-27 13:30:00,0.0233424361795187,0.8281028270721436,0.07083556056022644
2022-09-27 13:45:00,0.0292242132127285,0.8392524719238281,0.07872645556926727
2022-09-27 13:45:00,0.0292242132127285,0.8392524719238281,0.07872645556926727
2022-09-27 14:00:00,0.027997033670544624,0.834907591342926,0.07699462026357651
2022-09-27 14:00:00,0.027997033670544624,0.834907591342926,0.07699462026357651
2022-09-27 14:15:00,0.028445342555642128,0.8383647799491882,0.07797972857952118
2022-09-27 14:15:00,0.028445342555642128,0.8383647799491882,0.07797972857952118
2022-09-27 14:30:00,0.02995091862976551,0.8409836888313293,0.07966636121273041
