PERIOD_START_TIME,pl,pl_lstm,pl_xgb,pd,pd_lstm,pd_xgb,pdv,pdv_lstm,pdv_xgb
2022-09-27 06:00:00,0.0011820084409308,0.0025087234098464,0.0046975613,0.7160640889830509,0.7938834428787231,0.72881263,0.0222420550847457,0.0265350267291069,0.031685244
2022-09-27 06:00:00,0.0011820084409308,0.0025087234098464,0.0046975613,0.7160640889830509,0.7938834428787231,0.72881263,0.0222420550847457,0.0265350267291069,0.031685244
2022-09-27 06:15:00,0.0011817334095372,0.0039194724522531,0.0051668067,0.7230459956709956,0.7777077555656433,0.71905243,0.0229972943722943,0.02823799662292,0.025590371
2022-09-27 06:15:00,0.0011817334095372,0.0039194724522531,0.0051668067,0.7230459956709956,0.7777077555656433,0.71905243,0.0229972943722943,0.02823799662292,0.025590371
2022-09-27 06:30:00,0.0009386759523736,0.0044870083220303,0.0028593012,0.7182304025423728,0.7785230875015259,0.7290576,0.0229819915254237,0.0294253602623939,0.025097696
2022-09-27 06:30:00,0.0009386759523736,0.0044870083220303,0.0028593012,0.7182304025423728,0.7785230875015259,0.7290576,0.0229819915254237,0.0294253602623939,0.025097696
2022-09-27 06:45:00,0.000719282673775,0.0046995123848319,0.0018494157,0.712219846491228,0.7798250317573547,0.7196513,0.0226491228070175,0.029982503503561,0.025396561
2022-09-27 06:45:00,0.000719282673775,0.0046995123848319,0.0018494157,0.712219846491228,0.7798250317573547,0.7196513,0.0226491228070175,0.029982503503561,0.025396561
2022-09-27 07:00:00,0.0007648374998435,0.0051099760457873,0.0015140863,0.7211890889830508,0.7815398573875427,0.7196455,0.0242960805084745,0.0312221571803092,0.025171172
2022-09-27 07:00:00,0.0007648374998435,0.0051099760457873,0.0015140863,0.7211890889830508,0.7815398573875427,0.7196455,0.0242960805084745,0.0312221571803092,0.025171172
2022-09-27 07:15:00,0.002711726758068,0.0055095227435231,0.00147536,0.7236641949152542,0.7834325432777405,0.7198293,0.0257235169491525,0.0322581008076667,0.02672579
2022-09-27 07:15:00,0.002711726758068,0.0055095227435231,0.00147536,0.7236641949152542,0.7834325432777405,0.7198293,0.0257235169491525,0.0322581008076667,0.02672579
2022-09-27 07:30:00,0.0041370928266286,0.0060183829627931,0.002018063,0.7251573093220338,0.7853418588638306,0.7290576,0.0266080508474576,0.0339684672653675,0.028402256
2022-09-27 07:30:00,0.0041370928266286,0.0060183829627931,0.002018063,0.7251573093220338,0.7853418588638306,0.7290576,0.0266080508474576,0.0339684672653675,0.028402256
2022-09-27 07:45:00,0.00125155749377,0.0064237779006361,0.003917654,0.7246753177966101,0.7875897884368896,0.7290576,0.0259666313559322,0.0352597571909427,0.02851776
2022-09-27 07:45:00,0.00125155749377,0.0064237779006361,0.003917654,0.7246753177966101,0.7875897884368896,0.7290576,0.0259666313559322,0.0352597571909427,0.02851776
2022-09-27 08:00:00,0.001425390869989,0.0066528613679111,0.004000635,0.7281313559322034,0.789252519607544,0.7290576,0.0294480932203389,0.0361010693013668,0.028300725
2022-09-27 08:00:00,0.001425390869989,0.0066528613679111,0.004000635,0.7281313559322034,0.789252519607544,0.7290576,0.0294480932203389,0.0361010693013668,0.028300725
2022-09-27 08:15:00,0.0020511722275452,0.0068505965173244,0.0038584904,0.730031779661017,0.79076087474823,0.7290576,0.0315074152542372,0.0368996895849704,0.031148102
2022-09-27 08:15:00,0.0020511722275452,0.0068505965173244,0.0038584904,0.730031779661017,0.79076087474823,0.7290576,0.0315074152542372,0.0368996895849704,0.031148102
2022-09-27 08:30:00,0.0031636680192796,0.012552585452795,0.0025096645,0.7295328389830508,0.7995660305023193,0.73252255,0.0309772245762711,0.0458179302513599,0.032049548
2022-09-27 08:30:00,0.0031636680192796,0.012552585452795,0.0025096645,0.7295328389830508,0.7995660305023193,0.73252255,0.0309772245762711,0.0458179302513599,0.032049548
2022-09-27 08:45:00,0.0147753520705656,0.0125912744551897,0.0039937827,0.7316022245762711,0.8036516308784485,0.73271763,0.0328776483050847,0.0460580624639987,0.03366632
2022-09-27 08:45:00,0.0147753520705656,0.0125912744551897,0.0039937827,0.7316022245762711,0.8036516308784485,0.73271763,0.0328776483050847,0.0460580624639987,0.03366632
2022-09-27 09:00:00,0.0018425758793606,0.0219972822815179,0.010509401,0.7258919491525423,0.8201500773429871,0.73271763,0.0270646186440677,0.0657406896352768,0.034453224
2022-09-27 09:00:00,0.0018425758793606,0.0219972822815179,0.010509401,0.7258919491525423,0.8201500773429871,0.73271763,0.0270646186440677,0.0657406896352768,0.034453224
2022-09-27 09:15:00,0.0014601625925812,0.0302866101264953,0.007332286,0.7274968220338983,0.831768274307251,0.72881263,0.0287235169491525,0.0780190974473953,0.02973414
2022-09-27 09:15:00,0.0014601625925812,0.0302866101264953,0.007332286,0.7274968220338983,0.831768274307251,0.72881263,0.0287235169491525,0.0780190974473953,0.02973414
2022-09-27 09:30:00,0.0021902195225738,0.0230572149157524,0.004529262,0.7347203389830508,0.8242964744567871,0.7286213,0.035863877118644,0.0683053657412529,0.030980995
2022-09-27 09:30:00,0.0021902195225738,0.0230572149157524,0.004529262,0.7347203389830508,0.8242964744567871,0.7286213,0.035863877118644,0.0683053657412529,0.030980995
2022-09-27 09:45:00,0.0035808450516197,0.0090919565409421,0.0025096645,0.7345550847457627,0.8061814308166504,0.7339876,0.035625,0.0404309071600437,0.035137463
2022-09-27 09:45:00,0.0035808450516197,0.0090919565409421,0.0025096645,0.7345550847457627,0.8061814308166504,0.7339876,0.035625,0.0404309071600437,0.035137463
