"PERIOD_START_TIME","pl","pd","pdv"
"2022-07-04 06:00:00",0.003754074036654547874,0.97561153667595171773,0.01854828226555246050
"2022-07-04 06:15:00",0.003018725183114175425,0.97693419220055710306,0.01989409238625812440
"2022-07-04 06:30:00",0.005802485697084526238,0.97741051532033426184,0.02006023676880222840
"2022-07-04 06:45:00",0.004034735325995803566,0.97756936685288640596,0.02120879888268156420
"2022-07-04 07:00:00",0.005640702136120422869,0.98101253481894150418,0.02458130222841225630
"2022-07-04 07:15:00",0.012180711266809458984,0.98512179038281979458,0.02543283146591970120
"2022-07-04 07:30:00",0.003089381587470639319,0.97816651184393869020,0.02655980027868091040
"2022-07-04 07:45:00",0.004504893700680077235,0.98655808960074280409,0.02986246518105849580
"2022-07-04 08:00:00",0.004326101366801266769,0.98617573221757322176,0.02840394002789400280
"2022-07-04 08:15:00",0.004046360792678990461,0.98926367551210428305,0.03019273743016759780
"2022-07-04 08:30:00",0.005350549184374454930,0.98666331862517417557,0.03367893636785880170
"2022-07-04 08:45:00",0.012033075961146302207,0.99274094626168224299,0.03618609813084112150
"2022-07-04 09:00:00",0.013925605767729895072,1.00071345884003741815,0.04309489008419083260
"2022-07-04 09:15:00",0.007016302745142961522,1.00136677554829678021,0.04381142090527298180
"2022-07-04 09:30:00",0.007939073545573288209,1.00247072490706319703,0.04752759061338289960
"2022-07-04 09:45:00",0.020182856603752061257,1.01042687035315985130,0.05513713986988847580
"2022-07-04 10:00:00",0.021508805930988682075,1.01672357109665427509,0.06119330855018587360
"2022-07-04 10:15:00",0.031358793975649064919,1.03529919121197489136,0.07435779816513761470
"2022-07-04 10:30:00",0.044873655797750449354,1.09891045934202358783,0.07081843575418994410
"2022-07-04 10:45:00",0.057597800374872422649,1.11242259316770186335,0.08468734472049689440
"2022-07-04 11:00:00",0.036202653274895414557,1.10211832298136645963,0.07400155279503105590
"2022-07-04 11:15:00",0.030551409157195574403,1.09530779443923773821,0.06369025304592314900
"2022-07-04 11:30:00",0.033240801205731694902,1.10356776356830941984,0.07270726762320648780
"2022-07-04 11:45:00",0.058071764334296652116,1.12321619106699751861,0.09503264578163771710
"2022-07-04 12:00:00",0.031161477054790364285,1.03427831848030018762,0.07355212242026266420
"2022-07-04 12:15:00",0.029646553977879354972,1.02446618612283169245,0.06450767698077824660
"2022-07-04 12:30:00",0.020936984691623293218,1.02859921472105016409,0.06868741209563994370
"2022-07-04 12:45:00",0.026003357108053435655,1.03233925222691045476,0.07238812705110173460
"2022-07-04 13:00:00",0.017536047104713771171,1.03055364756039791568,0.06598940075793462810
"2022-07-04 13:15:00",0.032423790337160257630,1.04460148104265402844,0.07977434834123222750
"2022-07-04 13:30:00",0.015428058569318345867,1.03118563122923588040,0.07232676791646891310
"2022-07-04 13:45:00",0.020957519871806634669,1.02970827423167848700,0.06954669030732860520
"2022-07-04 14:00:00",0.015777112867959872295,1.02664080323193916350,0.06084820579847908750
"2022-07-04 14:15:00",0.040532684623754042771,1.04497544538209095171,0.08495411392405063290
"2022-07-04 14:30:00",0.015140931650850977524,1.03066566336166194523,0.06768537535410764870
"2022-07-04 14:45:00",0.065312280683061552036,1.06378956069910250354,0.09918853330184222960
"2022-07-04 15:00:00",0.026870504682864376148,1.03826569905213270142,0.07331729857819905210
"2022-07-04 15:15:00",0.054728068204513680847,1.05594396754468485419,0.09792350658513640640
"2022-07-04 15:30:00",0.048884057145684526171,1.05808771106941838649,0.09780716463414634150
"2022-07-04 15:45:00",0.040098867329988611453,1.05097251647834274953,0.09092614171374764600
"2022-07-04 16:00:00",0.054414660592806614120,1.05625512729844413013,0.09367244224422442240
"2022-07-04 16:15:00",0.051618489681107192985,1.06480618253189401374,0.09536175171736997060
"2022-07-04 16:30:00",0.024362721131115298849,1.10035429785894206549,0.06704132556675062970
"2022-07-04 16:45:00",0.040506844677873991964,1.11627787320424734541,0.08731207058088694570
"2022-07-04 17:00:00",0.052906364384440277079,1.12071361648969394129,0.08974461274203622740
"2022-07-04 17:15:00",0.033519987975040756082,1.11995092072409488140,0.09023689138576779030
"2022-07-04 17:30:00",0.028043800911548725165,1.11640743944636678201,0.08130646429694872600
"2022-07-04 17:45:00",0.017463140300294735041,1.10485232300884955752,0.07033723135271807840
"2022-07-04 18:00:00",0.013217246891883627860,1.02715432464454976303,0.06479745260663507110
"2022-07-04 18:15:00",0.017122241286107128587,1.03316125413320736892,0.06994679971658006610
"2022-07-04 18:30:00",0.039090609497797255430,1.04691209563994374121,0.08684898030942334740
"2022-07-04 18:45:00",0.020731831697538855022,1.03644264427625354778,0.07227436140018921480
"2022-07-04 19:00:00",0.026367888950612435328,1.04562422729434141702,0.07887476224441274370
"2022-07-04 19:15:00",0.018723980872636983485,1.03890064935064935065,0.07382072018890200710
"2022-07-04 19:30:00",0.011094936181518343785,1.02841978672985781991,0.06295521327014218010
"2022-07-04 19:45:00",0.017769803471877190232,1.04210803274798291410,0.07169298766018035120
"2022-07-04 20:00:00",0.017572635388865213065,1.04073729914933837429,0.07664603024574669190
"2022-07-04 20:15:00",0.024202397251179636077,1.03997619611558503079,0.07497702510658455710
"2022-07-04 20:30:00",0.024647248979990915146,1.03938474256022673595,0.07618398677373641950
"2022-07-04 20:45:00",0.051796484993016300379,1.05788121190811064229,0.09779055321143928740
"2022-07-04 21:00:00",0.045361047336181828732,1.05195574443141852286,0.08943956623681125440
"2022-07-04 21:15:00",0.036337717913554023214,1.04629828879512423816,0.08613795124238162210
"2022-07-04 21:30:00",0.038646172715040179270,1.04434274666041715491,0.08167940004687133820
